employeeNum,firstName,lastName,birthday,hourlyRate
10001,Manuel,Garcia III,10/11/1983,535.71
10002,Antonio,Lim,06/19/1988,357.14
10003,Bianca Sofia,Aquino,08/04/1989,357.14
10004,Isabella,Reyes,06/16/1994,357.14
10005,Eduard,Hernandez,09/23/1989,313.51
10006,Andrea Mae,Villanueva,02/14/1988,313.51
10007,Brad,San Jose,03/15/1996,255.8
10008,Alice,Romualdez,05/14/1992,133.93
10009,Rosie,Atienza,09/24/1948,133.93
10010,Roderick,Alvaro,03/30/1988,313.51
10011,Anthony,Salcedo,09/14/1993,302.53
10012,Josie,Lopez,01/14/1987,229.02
10013,Martha,Farala,01/11/1942,142.86
10014,Leila,Martinez,07/11/1970,142.86
10015,Fredrick,Romualdez,03/10/1985,318.45
10016,Christian,Mata,10/21/1987,255.8
10017,Selena,De Leon,02/20/1975,249.11
10018,Allison,San Jose,06/24/1986,133.93
10019,Cydney,Rosario,10/06/1996,133.93
10020,Mark,Bautista,02/12/1991,138.39
10021,Darlene,Lazaro,11/25/1985,138.39
10022,Kolby,Delos Santos,02/26/1980,142.86
10023,Vella,Santos,12/31/1983,133.93
10024,Tomas,Del Rosario,12/18/1978,133.93
10025,Jacklyn,Tolentino,05/19/1984,142.86
10026,Percival,Gutierrez,12/18/1970,147.32
10027,Garfield,Manalaysay,08/28/1986,147.32
10028,Lizeth,Villegas,12/12/1981,142.86
10029,Carol,Ramos,08/20/1978,133.93
10030,Emelia,Maceda,04/14/1973,133.93
10031,Delia,Aguilar,01/27/1989,133.93
10032,John Rafael,Castro,02/09/1992,313.51
10033,Carlos Ian,Martinez,11/16/1990,313.51
10034,Beatriz,Santos,08/07/1990,313.51
